titre,realisateur,date_debut_evenement,date_fin_evenement,cadre,lieu,adresse,arrondissement,adresse_complete,geo_coordinates
BUS PALLADIUM,CHRISTOPHER THOMPSON,2009-05-21,2009-05-21,EXTERIEUR,PLACE,PIGALLE,75018,PLACE PIGALLE 75018 Paris France,
LES INVITES DE MON PERE,ANNE LE NY,2009-05-20,2009-05-20,DOMAINE PUBLIC,SQUARE,DU CLIGNANCOURT,75018,SQUARE  DU CLIGNANCOURT 75018 Paris France,
"DEMAIN, A L'AUBE",GAEL CABOUAT,2009-04-17,2009-04-17,EXTERIEUR,RUE,QUINCAMPOIX,75004,RUE QUINCAMPOIX 75004 Paris France,
"DEMAIN, A L'AUBE",GAEL CABOUAT,2009-04-27,2009-04-27,EXTERIEUR,RUE,BEAUBOURG,75004,RUE BEAUBOURG 75004 Paris France,"48.861443, 2.353579"
L'ORDRE ET LA MORALE,MATHIEU KASSOVITZ,2009-05-18,2009-05-18,DOMAINE PUBLIC,BOIS,DE VINCENNES,75012,BOIS  DE VINCENNES 75012 Paris France,
LES MAINS LIBRES,BRIGITTE SY,2009-05-06,2009-05-06,DOMAINE PUBLIC,ECOLE,MATERNELLE (PL CONSTANTIN PECQUEUR),75018,ECOLE  MATERNELLE (PL CONSTANTIN PECQUEUR) 75018 Paris France,
LES MAINS LIBRES,BRIGITTE SY,2009-05-28,2009-05-28,EXTERIEUR,PLACE,CHARLES DULLIN,75018,PLACE CHARLES DULLIN 75018 Paris France,
LES MAINS LIBRES,BRIGITTE SY,2009-05-25,2009-05-25,EXTERIEUR,RUE,CARDINET,75017,RUE CARDINET 75017 Paris France,"48.885134, 2.310881"
LES MAINS LIBRES,BRIGITTE SY,2009-04-06,2009-04-06,EXTERIEUR,PLACE,D'ITALIE/BD AUGUSTE BLANQUI (ANGLE),75013,PLACE D'ITALIE/BD AUGUSTE BLANQUI (ANGLE) 75013 Paris France,
LES MAINS LIBRES,BRIGITTE SY,2009-04-06,2009-04-06,EXTERIEUR,AVENUE,DES GOBELINS,75013,AVENUE DES GOBELINS 75013 Paris France,
TOURNEE,MATHIEU AMALRIC,2009-05-28,2009-05-28,EXTERIEUR,RUE,OBERKAMPF,75011,RUE OBERKAMPF 75011 Paris France,"48.865128, 2.375098"
RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH,DE DARUVAR/THOMAS,2009-01-06,2009-01-06,EXTERIEUR,RUE,MARIE ET LOUISE,75010,RUE MARIE ET LOUISE 75010 Paris France,
RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH,DE DARUVAR/THOMAS,2009-02-06,2009-02-06,EXTERIEUR,RUE,BICHAT,75010,RUE BICHAT 75010 Paris France,"48.872186, 2.367217"
RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH,DE DARUVAR/THOMAS,2009-10-07,2009-10-07,EXTERIEUR,RUE,LECOURBE,75015,RUE LECOURBE 75015 Paris France,"48.84046, 2.295724"
RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH,DE DARUVAR/THOMAS,2009-10-07,2009-10-07,EXTERIEUR,RUE,PASTEUR,75015,RUE PASTEUR 75015 Paris France,
